loss	accuracy	val_loss	val_accuracy
2.9807	0.0741	2.8306	0.2329
2.9807	0.0741	2.8306	0.2329
2.6382 	0.2339 	1.6461 	0.6306
2.6382 	0.2339 	1.6461 	0.6306
1.4522	0.5858	0.8700	0.7923
1.4522	0.5858	0.8700	0.7923
0.7251	0.8076	0.5956	0.8480
0.7251	0.8076	0.5956	0.8480
0.3829	0.9097	0.4912	0.8652
0.3829	0.9097	0.4912	0.8652
0.2180	0.9508	0.4565	0.8745
0.2180	0.9508	0.4565	0.8745
0.1340	0.9704	0.4310	0.8856
0.1340	0.9704	0.4310	0.8856
0.0939	0.9783	0.4436	0.8869
0.0939	0.9783	0.4436	0.8869
0.0642	0.9877	0.4491	0.8864
0.0642	0.9877	0.4491	0.8864
0.0478	0.9912	0.4522	0.8931
0.0478	0.9912	0.4522	0.8931
