epoch	loss	accuracy	val_loss	val_accuracy
1	2.8640	0.3452	2.7257	0.4788
2	2.3640	0.4452	1.7257	0.5088
3	2.0640	0.5452	1.7257	0.6088
4	1.5345	0.6015	1.2691	0.6617
5	1.2194	0.6814	1.1752	0.6701
6	1.0398	0.7587	1.0661	0.7241
7	0.9926	0.7646	0.9038 	0.7289
8	0.8926	0.7746	0.9038 	0.7321
9	0.7993	0.8115	0.8547	0.7668
10	0.7993	0.8215	0.8547	0.7698
11	0.7069	0.8311	0.8194	0.7781
12	0.6318	0.8467	0.8108	0.7805
13	0.5576	0.8603	0.8103	0.8019
14	0.5084	0.8988 	0.8320 	0.8085
15	0.5084	0.9088 	0.8320 	0.8085
16	0.4703	0.9154	0.8673	0.8141
17	0.4215	0.9188	0.8474	0.8108
18	0.3954	0.9210	0.8824	0.8077
19	0.3482	0.9276	0.8905	0.8077
20	0.3333	0.9308	0.9252	0.8054
