epoch	loss	accuracy	val_loss	val_accuracy
1	2.8640	0.2452	2.7257	0.4788
2	2.3640	0.4452	1.7257	0.5188
3	2.0640	0.5052	1.7257	0.5588
4	1.5345	0.5615	1.2691	0.5817
5	1.2194	0.6214	1.1752	0.6001
6	1.0398	0.7087	1.0661	0.6541
7	0.9926	0.7646	0.9038 	0.6889
8	0.8926	0.7746	0.9038 	0.6921
9	0.7993	0.8115	0.8547	0.7068
10	0.7993	0.8215	0.8547	0.7108
11	0.7069	0.8311	0.8194	0.7281
12	0.6318	0.8467	0.8108	0.7305
13	0.5576	0.8603	0.8103	0.7419
14	0.5084	0.8988 	0.8320 	0.7585
15	0.5084	0.9088 	0.8320 	0.7605
16	0.4703	0.9154	0.8673	0.7641
17	0.4215	0.9188	0.8474	0.7708
18	0.3954	0.9210	0.8824	0.7807
19	0.3482	0.9216	0.8905	0.7805
20	0.3333	0.9228	0.9252	0.7813
