loss	accuracy	val_loss	val_accuracy
2.7100	0.5098	1.7221	0.6385
1.3381	0.7103	1.2633	0.7213
0.9396	0.7993	1.1040	0.7667
0.6989	0.8557	1.0250	0.7743
0.5288	0.8923	0.9734	0.7934
0.4071	0.9183	0.9576	0.7907
0.3176	0.9316	0.9553	0.8001
0.2581	0.9429	0.9756	0.7925
0.2198	0.9478	0.9791	0.7947
0.1948	0.9532	1.0036	0.7925
0.1702	0.9530	1.0227	0.7961
0.1565	0.9547	1.0310	0.7992
0.1486	0.9562	1.0638	0.8010
0.1411	0.9576	1.0733	0.7965
0.1322	0.9559 	1.0860	0.7952
0.1354	0.9571	1.1316	0.7894
0.1284	0.9561	1.1253	0.7974
0.1258	0.9568	1.1515	0.7850
0.1268	0.9569	1.1299	0.7934
0.1240	0.9574	1.1639	0.7921
