epoch	loss	accuracy	val_loss	val_accuracy
1	2.8640	0.3452	2.7257	0.4788
2	2.3640	0.4452	1.7257	0.5788
3	1.8345	0.5515	1.5691	0.6017
4	1.5345	0.6515	1.2691	0.6617
5	1.3194	0.6914	1.1752	0.6800
6	1.2194	0.7214	1.0752	0.7000
7	1.1398	0.7387	0.9981	0.7141
8	1.0398	0.7587	0.9661	0.7341
9	0.8926	0.7946	0.9038	0.7552
10	0.7993	0.8115	0.8547	0.7768
11	0.7069	0.8311	0.8194	0.7981
12	0.6318	0.8467	0.8108	0.8050
13	0.5576	0.8603	0.8103	0.8019
14	0.5084	0.8688	0.8320	0.8085
15	0.4703	0.8784	0.8673	0.8111
16	0.4215	0.8858	0.8474	0.8108
17	0.3954	0.8910	0.8024	0.8177
18	0.3482	0.9076	0.7805	0.8187
19	0.3433	0.9098	0.7252	0.8201
20	0.3033	0.9158	0.7052	0.8321
